번호,영상ID,상태,사유,채널,제목,업로드일,길이,재생목록,문단수,글자수,주소
172,JchNg3hnHtw,성공,,도화도르- 사주팔자 쉽게 풀어주는 남자,"화개살 사주 잘 맞는 직업과 글자별 매력, 잘 되는 시기(꿀팁주의😜)",20230209,23:24,,23,12223,https://www.youtube.com/watch?v=JchNg3hnHtw
173,5FicObGJHlY,성공,,도화도르- 사주팔자 쉽게 풀어주는 남자,[사주] 내가 결국 만나게 될 이성은 어떤 사람? ㅣ셀프 연애운 테스트 1탄(배우자 모습),20230223,18:42,,16,10537,https://www.youtube.com/watch?v=5FicObGJHlY
174,7UPOzS4oJms,성공,,도화도르- 사주팔자 쉽게 풀어주는 남자,[사주] MBTI보다 정확한 썸남썸녀의 연애 스타일 & 유형별 공략법❤️+)연애 시 발현되는 내 매력? (연애운 테스트 2탄),20230304,19:24,,19,11218,https://www.youtube.com/watch?v=7UPOzS4oJms
175,TSyBimyglxQ,성공,,도화도르- 사주팔자 쉽게 풀어주는 남자,도화살보다 더 눈에 띄는 홍염살 사주 테스트 및 활용법(홍염살 들어오는 년도),20230204,15:10,,15,8290,https://www.youtube.com/watch?v=TSyBimyglxQ
176,S--sJwiLI6M,성공,,도화도르- 사주팔자 쉽게 풀어주는 남자,"사주별 외모, 분위기 특징 총정리 ㅣ 나랑 찰떡인 매력과 스타일은 따로 있습니다(셀프브랜딩)",20230609,14:31,,16,7474,https://www.youtube.com/watch?v=S--sJwiLI6M
177,S8WRMGzni0k,성공,,도화도르- 사주팔자 쉽게 풀어주는 남자,사주팔자 보는 법 ㅣ비견 겁재가 사주에 1개라도 있다면..,20220428,18:26,,15,10950,https://www.youtube.com/watch?v=S8WRMGzni0k
178,tIjb3ZaKh7c,성공,,도화도르- 사주팔자 쉽게 풀어주는 남자,사주팔자 보는 법 ㅣ식신 상관이 사주에 1개라도 있을 때,20220504,20:59,,17,12387,https://www.youtube.com/watch?v=tIjb3ZaKh7c
179,Akl_furFk7k,성공,,도화도르- 사주팔자 쉽게 풀어주는 남자,사주 보는 법 ㅣ 편재 정재가 사주에 1개라도 있으면 생기는 좋은 일,20220508,23:37,,20,14257,https://www.youtube.com/watch?v=Akl_furFk7k
180,Q7TbralZp5w,성공,,도화도르- 사주팔자 쉽게 풀어주는 남자,사주에 편관 정관이 있을 때 좋은 점과 활용법ㅣ편관운 올 때 내가 겪은 소름 썰😨,20220514,23:12,,19,14142,https://www.youtube.com/watch?v=Q7TbralZp5w
181,oE_5Lruwe30,성공,,도화도르- 사주팔자 쉽게 풀어주는 남자,내 사주 보는 법 ㅣ편인 정인이 사주에 있을 때 대박나는 법💡,20220526,24:21,,20,14992,https://www.youtube.com/watch?v=oE_5Lruwe30
182,L1FB3EWqkrw,성공,,도화도르- 사주팔자 쉽게 풀어주는 남자,사주에 목이나 화가 있으면 대박나는 직업ㅣ사주로 보는 유리한 분야 찾는 법,20221207,10:04,,10,4430,https://www.youtube.com/watch?v=L1FB3EWqkrw
183,6UZ1yJCucA0,성공,,도화도르- 사주팔자 쉽게 풀어주는 남자,내 도화살 치명적으로 쓰는 비법ㅣ내 사주에 있는 도화살 종류 파악 및 유형별 200% 활용법 총정리,20200722,9:40,,116,5178,https://www.youtube.com/watch?v=6UZ1yJCucA0
184,nBYU5N6MIVM,성공,,도화도르- 사주팔자 쉽게 풀어주는 남자,내 화개살 치명적으로 쓰는 비법ㅣ도화살&홍염살과 차이점ㅣ화개살 사주 특징 + 성공 방법 총정리,20200819,10:53,,127,5522,https://www.youtube.com/watch?v=nBYU5N6MIVM
185,A7MwVr95OvA,성공,,도화도르- 사주팔자 쉽게 풀어주는 남자,나는 기센 사람일까? 내가 타고난 기 테스트 방법 & 기 센 사람 특징 총정리,20200512,6:31,,77,3215,https://www.youtube.com/watch?v=A7MwVr95OvA
186,d79uykAeN8E,성공,,도화도르- 사주팔자 쉽게 풀어주는 남자,내 홍염살 치명적으로 활용하는 법🔥ㅣ홍염살 사주 특징과 홍염살 관상의 모든 것ㅣ홍염살 조심할 점 + 성공 방법 총정리,20200913,17:19,,206,9136,https://www.youtube.com/watch?v=d79uykAeN8E
187,sIdlhPO2Ado,성공,,도화도르- 사주팔자 쉽게 풀어주는 남자,무속인도 사주 볼 때 긴장하는백호대살ㅣ가장 위험한데 순식간에 큰 부자되는 사주 특징(Ft.이건희 회장),20201028,14:34,,162,7077,https://www.youtube.com/watch?v=sIdlhPO2Ado
188,sGZhl-HQTKA,성공,,도화도르- 사주팔자 쉽게 풀어주는 남자,소름 돋는 역마살 테스트😀사주팔자에 역마살 있는 사람들의 대박나는 공식(인생이 바뀜),20201119,14:21,,160,6597,https://www.youtube.com/watch?v=sGZhl-HQTKA
189,iutB4e0Aq5g,성공,,도화도르- 사주팔자 쉽게 풀어주는 남자,역대 대통령 사주와 많이 다른 신기한 윤석열 사주ㅣ윤 대통령 사주 해석과 정권 흐름 예측(2년전 예언),20220324,18:46,,15,10974,https://www.youtube.com/watch?v=iutB4e0Aq5g
190,m7cf9FYk0Jw,성공,,도화도르- 사주팔자 쉽게 풀어주는 남자,큰 돈 들어오는 꿈? 3개월 내에 큰 돈을 벌게 되는 재물몽 총정리ㅣ그냥 넘기면 날라가는 재물몽 3가지,20210715,8:26,,99,4318,https://www.youtube.com/watch?v=m7cf9FYk0Jw
191,MtP9MSn9hl4,성공,,도화도르- 사주팔자 쉽게 풀어주는 남자,[사주] 계엄령 이후 심상치 않은 25년 국운과 윤석열 대통령의 미래,20241213,12:58,,24,7146,https://www.youtube.com/watch?v=MtP9MSn9hl4
192,jxoxkl1WZHM,성공,,도화도르- 사주팔자 쉽게 풀어주는 남자,하늘이 작정하고 돕는 사주 특징과 나타나는 현상 및 징조👍ㅣ내 사주 속 귀인 종류와 유형별 특징 활용법,20200930,13:21,,166,6927,https://www.youtube.com/watch?v=jxoxkl1WZHM
193,kKsivrgoyDw,성공,,HYBE LABELS,NewJeans (뉴진스) 'Cool With You' Official MV (Performance ver.),20230720,2:28,,10,792,https://www.youtube.com/watch?v=kKsivrgoyDw
