한자,음,훈음(인명),이독음/기타,총획,유니코드
禳,양,양 : 물리칠(양),,22,U+79B3
穰,양,양 : 짚(양) 넉넉할(양),양 : 짚(양) 넉넉할 (양),22,U+7A70
羊,양,양 : 양(양),,6,U+7F8A
羏,양,양 : 착할(양) 아름다울(양),분,9,U+7F8F
羕,양,양 : 물이길(양) 길(양),,11,U+7F95
蘘,양,양 : 양하(양),,23,U+8618
襄,양,양 : 도울(양),랑,17,U+8944
諹,양,양 : 칭찬할(양),,16,U+8AF9
讓,양,양 : 사양(양) 꾸짖을(양) 줄(양),양 : 사양(양) 꾸짖 을(양) 줄(양),24,U+8B93
輰,양,양 : 치장한수레(양) 임금수레(양),창,16,U+8F30
釀,양,양 : 빚을(양),,24,U+91C0
鍚,양,양 : 당로(양),석,17,U+935A
鑲,양,양,,25,U+9472
陽,양,양 : 양기(양),"량,탕 : 양기(량)",12,U+967D
颺,양,양 : 날(양),,18,U+98BA
養,양,양 : 기를(양),,15,U+990A
驤,양,양 : 들(양),,27,U+9A64
򠄌,양,양,,22,U+A010C
唹,어,어 : 고요히웃을(어),,11,U+5539
圄,어,어 : 옥(어),오,10,U+5704
圉,어,어 : 마굿간(어),,11,U+5709
御,어,어 : 부릴(어),,11,U+5FA1
敔,어,어 : 악기이름(어),,11,U+6554
於,어,어 : 어조사(어),여,8,U+65BC
淤,어,어 : 진흙(어),,11,U+6DE4
漁,어,어 : 고기잡을(어),,14,U+6F01
瘀,어,어 : 어혈(어),,13,U+7600
禦,어,어 : 막을(어),,16,U+79A6
語,어,어 : 말씀(어),,14,U+8A9E
飫,어,어 : 실컷먹을(어)  잔치(어),,13,U+98EB
馭,어,어 : 부릴(어),,12,U+99AD
魚,어,어 : 물고기(어) 성(어),어 : 물고기(어) 성 (어),11,U+9B5A
齬,어,어 : 이맞지않을(어),,22,U+9F6C
億,억,억 : 억(억) 헤아릴(억),억 : 억(억) 헤아릴 (억),15,U+5104
憶,억,억 : 기억할(억),,16,U+61B6
抑,억,억 : 누를(억),,7,U+6291
檍,억,억 : 참죽나무(억) 박달나무(억) 싸리나무(억),억 : 참죽나무(억)  박달나무(억) 싸리 나무(억),17,U+6A8D
繶,억,억 : 건은노(억) 흔솔실(억),,19,U+7E76
臆,억,억 : 가슴(억),,17,U+81C6
偃,언,언 : 쓰러질(언),,11,U+5043
傿,언,언 : 에누리할(엄)  고을이름(언),,13,U+50BF
匽,언,언 : 숨길(언)  길결(언),은,9,U+533D
嘕,언,언 : 기꺼워할(언)  즐거워할(언) 빙그레할(언),,14,U+5615
堰,언,언 : 방죽(언),"원,은",12,U+5830
嫣,언,언 : 아름다울(언) 연할(언),현 : 긴모양(현),14,U+5AE3
嵃,언,언 : 산가파를(언),,12,U+5D43
彥,언,언 : 선비(언),,9,U+5F65
彦,언,언 : 선비(언),,9,U+5F66
漹,언,언 : 물이름(언),,14,U+6F39
焉,언,언 : 어찌(언)어조사(언),언 : 어찌(언)어조사 (언),11,U+7109
言,언,언 : 말씀(언) 어조사(언),은 : 화기애애할(은),7,U+8A00
諺,언,언 : 상말(언),안 : 사나울(안),16,U+8AFA
讞,언,언 : 평의할(언),얼 : 평의할(얼),27,U+8B9E
郾,언,언 : 나라이름(언),,12,U+90FE
鄢,언,언 : 땅이름(언),,14,U+9122
鶠,언,언 : 봄새(언),,20,U+9DA0
鼴,언,언 : 두더지(언),,22,U+9F34
鼹,언,언 : 두더지(언),,23,U+9F39
㥼,"언,은","언,은",,14,U+397C
孼,얼,얼 : 첩자식(얼) 치장할(얼),얼 : 첩자식(얼) 치 장할(얼),19,U+5B7C
糱,얼,얼 : 누룩(얼),,22,U+7CF1
糵,얼,얼 : 누룩(얼) 빚을 (얼),,23,U+7CF5
臬,얼,얼 : 과녁(얼)  해시계(얼),열,10,U+81EC
蘖,얼,얼 : 움(얼) 요리(얼),,23,U+8616
򠆣,얼,얼,,23,U+A01A3
򠉜,얼,얼,,40,U+A025C
俺,엄,엄 : 나(엄),암 : 나(암),10,U+4FFA
儼,엄,엄 : 근엄할(엄),,22,U+513C
厳,엄,엄 : 嚴(엄할(엄)의  略字,,17,U+53B3
嚴,엄,엄 : 엄할(엄) 굳셀(엄),엄 : 엄할(엄) 굳셀 (엄),20,U+56B4
奄,엄,엄 : 가릴(엄) 문득(엄),음,8,U+5944
崦,엄,엄 : 산이름(엄),,11,U+5D26
广,엄,엄 : 집(엄) 마룻대(엄),,3,U+5E7F
掩,엄,엄 : 가릴(엄),음,11,U+63A9
曮,엄,엄 : 해다니는길(엄)  엄전할(엄),,24,U+66EE
淹,엄,엄 : 담글 (엄) 머무를(엄),음,11,U+6DF9
罨,엄,엄 : 그물(엄),압,13,U+7F68
醃,엄,엄 : 절일(엄),,15,U+9183
閹,엄,엄 : 고자(엄) 숨길(엄),,16,U+95B9
龑,엄,엄 : 높고밝을(엄),,20,U+9F91
嶪,업,업 : 산높고웅장할(업),업 : 산높고웅장할(엄 /업),16,U+5DAA
嶫,업,업 : 산이높고웅장할(엄),,16,U+5DAB
業,업,업 : 업(업) 이미(업),,13,U+696D
鄴,업,업 : 땅이름(업),,16,U+9134
恚,에,에 : 성낼 (에),"규,예,혜",10,U+605A
曀,에,에 : 음산할(에),"예,일 : 음산할(예)",16,U+66C0
円,엔,엔 : (圓의 일본 한자) 일본돈(엔),원 : 둥글(원)(圓의   일본   한자)   일본돈(엔),4,U+5186
予,여,여 : 나(여) 줄(여),예,4,U+4E88
伃,여,여 : 궁녀의벼슬이름(여),예,6,U+4F03
余,여,여 : 나(여),,7,U+4F59
侞,여,여 : 온순할(여),,8,U+4F9E
如,여,여 : 같을(여) 좇을(여),시,6,U+5982
妤,여,여 : 궁녀(여),"려,유",7,U+59A4
忬,여,여 : 미리(여),서 : 늘리(서),7,U+5FEC
悇,여,여 : 근심할(여),"도,서 : 속끓일(도) 의심스러울(서) 즐거울(서)",10,U+6087
歟,여,여 : 그런가(여),,18,U+6B5F
汝,여,여 : 너(여) 물이름(여),"녀,옥",6,U+6C5D
洳,여,여 : 습한땅(여),,9,U+6D33
璵,여,여 : 옥(여),,18,U+74B5
礖,여,여 : 돌이름(여),,18,U+7916
舁,여,여 : 마주들(여),,10,U+8201
與,여,여 : 더불(여) 줄(여),흥,14,U+8207
艅,여,여 : 배이름(여),,13,U+8245
茹,여,여 : 먹을(여),,12,U+8339
輿,여,여 : 수레(여) 많을(여),여 : 수레(여) 많을 (여),17,U+8F3F
轝,여,여 : 수레바탕(여) 천지(여) 남을(여),여 : 수레바탕(여)  천지(여) 남을(여),21,U+8F5D
餘,여,여 : 남을(여) 다른(여),여 : 남을(여) 다른 (여),16,U+9918
򠆤,여,여,,12,U+A01A4
亦,역,역 : 또한(역),"연,혁",6,U+4EA6
域,역,역 : 지경(역),,11,U+57DF
嶧,역,역 : 산이름(역),택,16,U+5DA7
役,역,역 : 일(역) 부릴(역) 일군(역),,7,U+5F79
懌,역,역 : 기뻐할(역),"염,택",16,U+61CC
晹,역,역 : 해반짝날(역),,12,U+6679
曎,역,역 : 날빛(역),"염,탁",17,U+66CE
淢,역,역 : 빨리흐를(역),혁 : 서러울(혁),11,U+6DE2
疫,역,역 : 돌림병(역),,9,U+75AB
繹,역,역 : 당길(역) 연달(역) 풀릴(역) 의제사이름(역),택,19,U+7E79
譯,역,역 : 통변할(역) 번역(역),"탁,택",20,U+8B6F
逆,역,역 : 거스를(역) 미리(역),역 : 거스를(역) 미 리(역),10,U+9006
閾,역,역 : 문지방(역),,16,U+95BE
驛,역,역 : 역말(역) 정거장(역),역 : 역말(역) 정거 장(역),23,U+9A5B
易,"역,이","역,이 : 바꿀(역) 쉬울(이)",석,8,U+6613
㜣,연,연,,15,U+3723
㳄,연,연,차,7,U+3CC4
䂩,연,연,,11,U+40A9
䄗,연,연,,13,U+4117
兖,연,연 : 땅이름(연),,8,U+5156
兗,연,연 : 연주(연),,9,U+5157
嚥,연,연 : 삼킬(연),,19,U+56A5
囦,연,연 : 못연,,7,U+56E6
埏,연,연 : 땅가장자리(연) ,선 : 이길(선),10,U+57CF
堧,연,연 : 강가땅(연) 빈터(연),연 : 강가땅(연) 빈 터(연),12,U+5827
壖,연,연 : 빈땅(연) 성밑밭(연) 언덕가(연),인,17,U+58D6
妍,연,연 : 예쁠 (연) 총명할(연),"간,년,묘",7,U+598D
姢,연,연,"운,위",9,U+59E2
姸,연,연 : 고울(연) 갈(연),"새,의,정",9,U+59F8
娟,연,연 : 예쁠(연),지,10,U+5A1F
娫,연,연 : 빛날(연) 환할(연),"련,정",10,U+5A2B
嬿,연,연 : 아름다울(연) 수더분할(연),연 : 아름다울(연)  수더분할(연),19,U+5B3F
宴,연,연 : 잔치(연),,10,U+5BB4
延,연,연 : 끌(연) 미칠(연),정,7,U+5EF6
悁,연,연 : 근심할(연),,10,U+6081
抁,연,연 : 움직일(연),윤,7,U+6281
挻,연,연 : 당길(연) 달아날(연),연 : 당길(연) 달아 날(연),10,U+633B
捐,연,연 : 기부할(연),,10,U+6350
掾,연,연 : 아전(연),,12,U+63BE
曣,연,연 : 더울(연) 청명할(연),연 : 더울(연) 청명 할(연),20,U+66E3
棩,연,연 : 나무굽을(연),,12,U+68E9
椽,연,연 : 서까래(연),록,13,U+693D
橪,연,연 : 산대추(연) 향내나는풀(연),,16,U+6A6A
櫞,연,연 : 구연(연),,19,U+6ADE
沿,연,연 : 좇을(연),,8,U+6CBF
涎,연,연 : 침(연),,10,U+6D8E
涓,연,연 : 물방울(연) 졸졸흐르는물(연),"견,소,위",10,U+6D93
淵,연,연 : 연못(연),,11,U+6DF5
渊,연,연 : 못(연),,11,U+6E0A
渷,연,연 : 물이름(연),면,12,U+6E37
演,연,연 : 펼(연) 흐를(연),인,14,U+6F14
灁,연,연 : 깊을(연),현,20,U+7041
烟,연,연 : 연기(연) 김(인) 기운(인),"인,전,형  : 김(인)   기운(인)",10,U+70DF
然,연,연 : 그럴(연),년,12,U+7136
煙,연,연 : 연기(연) 담배(연),인,13,U+7159
燃,연,연 : 탈(연) 사를(연),,16,U+71C3
燕,연,연 : 제비(연),,16,U+71D5
珚,연,연 : 옥이름(연),"옥,인",10,U+73DA
瑌,연,연 : 옥돌(연),련,13,U+744C
瓀,연,연 : 옥돌(연),,18,U+74C0
硏,연,연 : 갈(연) 궁구할(연) 벼루(연),연 : 갈(연) 궁구할 (연) 벼루(연),11,U+784F
硯,연,연 : 벼루(연),현,12,U+786F
碝,연,연 : 아름다운옥돌(연),현,14,U+789D
筵,연,연 : 자리(연),,13,U+7B75
緣,연,연 : 연분(연) 인할(연) 가선(연) 두를(연) 좇을(연),휘,15,U+7DE3
縯,연,연 : 길(연),인 : 당길(인),17,U+7E2F
耎,연,연 : 부드러울(연),,9,U+800E
肙,연,연 : 작은벌레(연) 요동할(연),,7,U+8099
胭,연,연 : 연지(연),인,10,U+80ED
臙,연,연 : 연지(연),열,20,U+81D9
莚,연,연 : 만연할(연) 풀이름(연),연 : 만연할(연) 풀 이름(연),13,U+839A
蜵,연,연 : 우렁찰(연) 벌레이름(연),,14,U+8735
蠕,연,연 : 꿈틀거릴(연),"유,윤 : 꿈틀거릴(유)",20,U+8815
衍,연,연 : 퍼질(연),"창,현,형",9,U+884D
讌,연,연 : 잔치(연),,23,U+8B8C
軟,연,연 : 부드러울(연) 약할(연),차,11,U+8EDF
輭,연,연 : 덧바퀴(연) 연 할(연),,16,U+8F2D
郔,연,연 : 땅이름(연),,10,U+90D4
酀,연,연 : 고을이름(연),,19,U+9140
醼,연,연 : 잔치(연),,23,U+91BC
鉛,연,연 : 납(연) 분(연),,13,U+925B
鋋,연,연 : 창(연),탄,15,U+92CB
鳶,연,연 : 솔개(연) 연(연),오,14,U+9CF6
򠉈,연,연 : 만연할(연) 풀이름(연),연 : 만연할(연) 풀 이름(연),12,U+A0248
沇,"연,윤","연,윤: 물이름(연)","유,윤",7,U+6C87
戭,"연,인","연,인: 긴창(인) 사람이름(연)",,15,U+622D
䲻,"연,현","연,현","원,홍",16,U+4CBB
噎,열,열 : 목멜(열),일 : 목멜(일),15,U+564E
悅,열,열 : 기쁠(열),이,10,U+6085
潱,열,열 : 흐를(열),일,15,U+6F71
熱,열,열 : 열(열) 더울(열),,15,U+71B1
閱,열,열 : 점고할(열) 가릴(열) 읽을(열) 지낼(열) (체)(열),열 : 점고할(열) 가 릴(열) 읽을(열)  지낼(열) (체) (열),15,U+95B1
咽,"열,인","열,인 : 목구멍(인) 막힐(열)",연 : 삼킬(연),9,U+54BD
冉,염,염 : 늘어질(염) 갈(염),,5,U+5189
厭,염,염 : 싫어할(염),"섭,엽",14,U+53AD
嬮,염,염 : 고요할(염),,17,U+5B2E
懕,염,염 : 앓을(염),,18,U+61D5
扊,염,염 : 빗장(염),,12,U+624A
染,염,염 : 물들일(염) 옮을(염),염 : 물들일(염) 옮 을(염),9,U+67D3
檿,염,염 : 산뽕나무(염),,18,U+6ABF
灩,염,염 : 출렁거릴(염),,31,U+7069
焰,염,염 : 불꽃(염),,12,U+7130
猒,염,염 : 배부를(염) 넉넉할(염) 편안할(염),,12,U+7312
琰,염,염 : 옥(염),"담,당,영",12,U+7430
艶,염,염 : 고울(염)의 俗字,"례,명,얌,여,연,영,예,정",19,U+8276
艷,염,염 : 고울(염),,24,U+8277
苒,염,염 : 성할(염) 천연할(염),염 : 성할(염) 천연 할(염),11,U+82D2
閻,염,염 : 이문(염) 마을(염) 아리따울(염),염 : 이문(염) 마을 (염) 아리따울(염),16,U+95BB
饜,염,염 : 포식할(염),,23,U+995C
髥,염,염 : 구레나룻(염),,14,U+9AE5
魘,염,염 : 잠꼬대할(염),엽,24,U+9B58
鹽,염,염 : 소금(염),,24,U+9E7D
黶,염,염 : 검은사마귀(염),,26,U+9EF6
򠆥,염,염,,11,U+A01A5
偞,엽,엽 : 가벼울(엽) 낮을(엽) 얼굴예쁠(엽),,11,U+505E
曄,엽,엽 : 빛날(엽),화,16,U+66C4
曅,엽,엽 : 빛날(엽),화,16,U+66C5
枼,엽,엽 : 모진나무(엽) 엷을(엽),세,9,U+67BC
燁,엽,엽 : 빛날(엽),화,15,U+71C1
爗,엽,엽 : 빛날(엽),,20,U+7217
瞱,엽,엽 : 빛날(엽),화,17,U+77B1
靨,엽,엽 : 보조개(엽),염,23,U+9768
򠆦,엽,엽,,16,U+A01A6
򠆧,엽,엽,,15,U+A01A7
򠆇,"엽,섭","엽,섭",,15,U+A0187
熀,"엽,황","엽,황 : 빛날(엽) 밝힐(엽)","광,넙,녑,연,염,호",14,U+7180
䀴,영,영,"경,나",12,U+4034
䁐,영,영,,14,U+4050
䕦,영,영,,22,U+4566
䨍,영,영,병,12,U+4A0D
䪯,영,영,훈,19,U+4AAF
偀,영,영 : 빼어날(영),,11,U+5040
咏,영,영 : 읊을(영),,8,U+548F
塋,영,영 : 무덤(영),,13,U+584B
嬰,영,영 : 갓난아기(영),"앵,연",17,U+5B30
嬴,영,영 : 가득할(영),,16,U+5B34
孾,영,영 : 어린아이(영),,20,U+5B7E
嶸,영,영 : 가파를(영),,17,U+5DB8
廮,영,영 : 편안히그칠(영) 골이름(영),,20,U+5EEE
影,영,영 : 그림자(영) 모습(영),경,15,U+5F71
攖,영,영 : 가까이할(영) 어지러울(영),,20,U+6516
映,영,영 : 비칠(영),,9,U+6620
暎,영,영 : 비칠(영) 빛날(영),영 : 비칠(영) 빛날 (영),13,U+668E
朠,영,영 : 달빛(영),,13,U+6720
栄,영,영 : 榮(영화(영))의 略字,창,9,U+6804
栐,영,영,,9,U+6810
楹,영,영 : 기둥(영),,13,U+6979
榮,영,영 : 영화(영),,14,U+69AE
永,영,영 : 길(영),옥,5,U+6C38
泳,영,영 : 헤엄(영),,8,U+6CF3
浧,영,영: 잠길(영) 임금(영),영: 잠길(영) 임금 (영),10,U+6D67
渶,영,영 : 물이름(영),,12,U+6E36
潁,영,영 : 물이름(영),"경,전",15,U+6F41
濚,영,영 : 물돌아나갈(영),,17,U+6FDA
濴,영,영 : 물흐를(영),형,17,U+6FF4
瀛,영,영 : 바다(영),명,19,U+701B
瀯,영,영 : 물소리(영) 물빙돌아나갈(영),형,20,U+702F
瀴,영,영 : 큰물(영),,20,U+7034
煐,영,영 : 빛날(영) 사람이름(영),영 : 빛날(영) 사람 이름(영),13,U+7150
營,영,영 : 진영(영),,17,U+71DF
瑛,영,영 : 옥빛(영),,13,U+745B
瓔,영,영 : 옥돌(영),앵,21,U+74D4
癭,영,영 : 흑(영),,22,U+766D
盈,영,영 : 찰(영) 남을(영),,9,U+76C8
碤,영,영 : 화반석(영),,14,U+78A4
禜,영,영 : 기우제(영) 재앙제하는(영),,15,U+799C
穎,영,영 : 이삭(영),"경,연,원,의",16,U+7A4E
縈,영,영 : 얽힐(영) 두를(영) 굽을(영),,16,U+7E08
纓,영,영 : 갓끈(영),,23,U+7E93
英,영,영 : 꽃(영) 빼어날(영),영 : 꽃(영) 빼어날 (영),11,U+82F1
荣,영,영 : 성할(영) 영화 (영),,12,U+8363
蠑,영,영 : 영원(영),령,20,U+8811
詠,영,영 : 읊을(영),,12,U+8A60
謍,영,영 : 속살거릴(영),,17,U+8B0D
賏,영,영 : 자개를이어꿴목치 장(영),,14,U+8CCF
贏,영,영 : 남을(영) 펴질(영) 승리(영),,20,U+8D0F
迎,영,영 : 맞이할(영),,8,U+8FCE
郢,영,영 : 초나라서울(영),정,10,U+90E2
鍈,영,영 : 방울소리(영),,16,U+9348
鐛,영,영 : 물릴(영),경,20,U+941B
霙,영,영 : 진눈깨비(영),,17,U+9719
韺,영,영 : 꽃부리(영),,18,U+97FA
𢥏,영,영,,21,U+2294F
򠆨,영,영,,11,U+A01A8
򠆩,영,영,,13,U+A01A9
򠆪,영,영,,13,U+A01AA
򠆫,영,영,,14,U+A01AB
򠆬,영,영,,13,U+A01AC
򠆭,영,영,,17,U+A01AD
򠉝,영,영,,22,U+A025D
򠉞,영,영,,18,U+A025E
򠊕,영,영 : 꽃부리(영),,18,U+A0295
瑩,"영,형","영,형 : 옥돌(영) 맑을(형)",연,15,U+7469
㙯,예,예,,15,U+366F
䢃,예,예,,15,U+4883
乂,예,예 : 다스릴(예),례,2,U+4E42
倪,예,예 : 끝(예),아,10,U+502A
刈,예,예 : 벨(예),,4,U+5208
勩,예,예 : 수고로울(예),이 : 수고로울(이),14,U+52E9
叡,예,예 : 밝을(예) 슬기로울(예),예 : 밝을(예) 슬기 로울(예),16,U+53E1
呭,예,예 : 말수다할(예),세,8,U+546D
囈,예,예 : 잠꼬대(예),,22,U+56C8
埶,예,예 : 심을(예),,11,U+57F6
堄,예,예 : 성가퀴(예),아,11,U+5804
壡,예,예 : 밝을(예)의 古 字,,19,U+58E1
婗,예,예 : 젖먹이(예),아,11,U+5A57
嫕,예,예 : 유순할(예),,14,U+5AD5
嫛,예,예 : 갓난아이(예),이,14,U+5ADB
帠,예,예: 법(예),,9,U+5E20
拽,예,예 : 끌(예),열 : 끌(열),9,U+62FD
掜,예,예 : 성(예)  분뜰(예),"례,아",11,U+639C
曳,예,예 : 끌(예),,6,U+66F3
枍,예,예 : 궁이름(예),,8,U+678D
枘,예,예 : 장부(예),,8,U+6798
橤,예,예 : 드리울(예),,16,U+6A64
汭,예,예 : 물구비(예),"내,래,례",7,U+6C6D
淣,예,예: 물가(예),"아, 애",11,U+6DE3
濊,예,예 : 흐릴(예),"세,회  : 물출렁거릴(회)",16,U+6FCA
猊,예,예 : 사자(예),,11,U+730A
獩,예,예 : 동녘오랑캐(예),,16,U+7369
玴,예,예 : 옥돌(예),"계,세",9,U+73B4
瘱,예,예 : 고요할(예) 편 안할(예) 공손할(예) 빽빽할(예),,16,U+7631
睨,예,예 : 노려볼(예),혼,13,U+7768
睿,예,예 : 밝을(예) 슬기로울(예),준,14,U+777F
瞖,예,예 : 흐릴(예),,16,U+7796
穢,예,예 : 더러울(예),,18,U+7A62
繄,예,예 : 이(예) 아(예),,17,U+7E44
繠,예,예 : 드리울(예) 기울(예) 모여들(예),,18,U+7E60
羿,예,예 : 사람이름(예),,9,U+7FBF
翳,예,예 : 깃일산(예),,17,U+7FF3
芮,예,예 : 물가(예) 방패끈(예),예 : 물가(예) 방패 끈(예),10,U+82AE
蓺,예,예 : 심을(예),,17,U+84FA
蕊,예,예 : 꽃술(예),,18,U+854A
薉,예,예 : 잡초(예) 예맥족(예),,19,U+8589
藝,예,예 : 재주(예) 심을(예),예 : 재주(예) 심을 (예),21,U+85DD
蘂,예,예 : 꽃술(예),"심,애,여,혜",22,U+8602
蚋,예,예 : 모기(예),,10,U+868B
蜺,예,예 : 애매미(예) 무지개(예),,14,U+873A
裔,예,예 : 후예(예) 변경(예),예 : 후예(예) 변경 (예),13,U+88D4
詍,예,예 : 잔말할(예) 말꾸며서말할(예),,12,U+8A4D
詣,예,예 : 이를(예),"여,지",13,U+8A63
譽,예,예 : 명예(예),여,21,U+8B7D
跇,예,예 : 뛰어넘을(예) 건널(예),,12,U+8DC7
郳,예,예: 나라이름(예),아,11,U+90F3
銳,예,예 : 날카로울(예) 날랠(예),열,15,U+92B3
霓,예,예 : 무지개(예),"래,아,역",16,U+9713
預,예,예 : 미리(예) 참여할(예) 맡길(예),"여,후",13,U+9810
鯢,예,예 : 암고래(예),,19,U+9BE2
鷖,예,예 : 갈매기(예) 감색(예),,22,U+9DD6
麑,예,예 : 사슴새끼(예)  사자(예),,19,U+9E91
𣫙,예,예,"영,예",19,U+23AD9
򠆮,예,예,,21,U+A01AE
򠆯,예,예,,10,U+A01AF
򠆰,예,예,,22,U+A01B0
򠉅,예,예 : 심을(예),,17,U+A0245
򠉆,예,예 : 꽃술(예),,18,U+A0246
򠉡,예,예,,14,U+A0261
医,"예,의","예,의 : 醫(의원(의))의 略字",,7,U+533B
䜭,"예,준","예,준",,12,U+472D
㬳,오,오,,8,U+3B33
㻍,오,오,"우,호",11,U+3ECD
䎸,오,오,,13,U+43B8
䫨,오,오,,20,U+4AE8
五,오,오 : 다섯(오),거 : 다섯(오),4,U+4E94
仵,오,오 : 짝(오),,6,U+4EF5
伍,오,오 : 항오(오) 다섯(오),,6,U+4F0D
俉,오,오 : 맞이할(오),,9,U+4FC9
俣,오,오 : 갈래질(오),우,9,U+4FE3
傲,오,오 : 업신여길(오),,13,U+50B2
午,오,오 : 일곱째지지(오) 낮(오),오 : 일곱째지지(오)  낮(오),4,U+5348
吳,오,오 : 성(오),,7,U+5433
吾,오,오 : 나(오),,7,U+543E
唔,오,오 : 글읽는소리(오),,10,U+5514
啎,오,오 : 거스를(오),,11,U+554E
嗚,오,오 : 탄식할(오),,13,U+55DA
嗷,오,오 : 여럿이걱정할(오),,14,U+55F7
噁,오,오 : 성낼(오) 옥사(오),,15,U+5641
圬,오,오 : 흙손(오),,6,U+572C
塢,오,오 : 마을(오) 보루(오),오 : 마을(오) 보루 (오),13,U+5862
墺,오,오 : 물가(오),욱,16,U+58BA
奧,오,오 : 아랫목(오),욱,13,U+5967
娛,오,오 : 오락(오),우,10,U+5A1B
嫯,오,오 : 업신여겨볼(오),,14,U+5AEF
寤,오,오 : 잠깰(오) 깨달을(오),오 : 잠깰(오) 깨달 을(오),14,U+5BE4
弙,오,오 : 활꽉당겨겨눌(오) 당길(오),우,6,U+5F19
忤,오,오 : 거스를(오),,7,U+5FE4
悟,오,오 : 깨달을(오),,10,U+609F
慠,오,오 : 오만할(오),,14,U+6160
懊,오,오 : 원망할(오),,16,U+61CA
扷,오,오 : 헤아릴(오)  잴(오),"부,옥",7,U+6277
捂,오,오 : 가릴(오) 가둘(오),,10,U+6342
敖,오,오 : 거만할(오),,11,U+6556
旿,오,오 : 낮밝을(오) 한낮(오),호,8,U+65FF
晤,오,오 : 만날(오),,11,U+6664
梧,오,오 : 벽오동나무(오),,11,U+68A7
汙,오,오 : 더러울(오),"간,우,환 : 팔(와)",6,U+6C59
汚,오,오 : 오염(오),,6,U+6C5A
汻,오,오 : 물이름(오),"허,호",7,U+6C7B
浯,오,오 : 물이름(오),,10,U+6D6F
澳,오,오 : 깊을(오),"욱,포",16,U+6FB3
烏,오,오 : 까마귀(오),,10,U+70CF
熬,오,오 : 볶을(오),,15,U+71AC
牾,오,오 : 거스를(오),,11,U+727E
獒,오,오 : 개이름(오),,14,U+7352
珸,오,오 : 옥돌(오),,11,U+73F8
窹,오,오 : 깰(오) 깨달을(오),,16,U+7AB9
筽,오,오 : 대이름(오),,13,U+7B7D
聱,오,오 : 듣지아니할(오),,17,U+8071
茣,오,오 : 풀이름(오),어,13,U+8323
蜈,오,오 : 지네(오),,13,U+8708
襖,오,오 : 저고리(오),,19,U+8956
誤,오,오 : 그릇할(오) 잘못(오),오 : 그릇할(오) 잘 못(오),14,U+8AA4
謷,오,오 : 헐뜯을(오),,17,U+8B37
迃,오,오 : 굽을(오),우,7,U+8FC3
迕,오,오 : 만날(오)  거스를(오),종,8,U+8FD5
逜,오,오 : 깨우칠(오) 상관할(오),,11,U+901C
遨,오,오 : 노닐(오),,15,U+9068
郚,오,오 : 고을이름(오),,10,U+90DA
鄔,오,오 : 땅이름(오),,13,U+9114
鏊,오,오 : 번철(오),,19,U+93CA
鏖,오,오 : 무찌를(오),,19,U+93D6
隩,오,오 : 숨길(오),욱,16,U+96A9
驁,오,오 : 준마(오) 거만할(오),,21,U+9A41
鰲,오,오 : 큰자라(오),,22,U+9C32
鼇,오,오 : 큰자라(오),,23,U+9F07
鼯,오,오 : 날다람쥐(오),,20,U+9F2F
燠,"오,우,욱","오,우,욱 : 따뜻할(욱) 위로할(오)",,17,U+71E0
屋,옥,옥 : 집(옥),,9,U+5C4B
沃,옥,옥 : 물댈(옥) 기름질(옥),옥 : 물댈(옥) 기름 질(옥),7,U+6C83
獄,옥,옥 : 감옥(옥),,13,U+7344
玉,옥,옥 : 옥(옥),,5,U+7389
鈺,옥,옥 : 보배(옥),각,13,U+923A
鋈,옥,옥 : 도금(옥),,15,U+92C8
㬈,온,온,,13,U+3B08
媪,온,온 : 할미(온),오 : 할미(오),12,U+5AAA
媼,온,온 : 할미(온),오,13,U+5ABC
慍,온,온 : 성낼(온),,13,U+614D
昷,온,온 : 어질(온),,9,U+6637
榲,온,온: 무성할(온),올: 올발(올),14,U+69B2
氳,온,온 : 기운어릴(온),,14,U+6C33
溫,온,온 : 따뜻할(온),,13,U+6EAB
熅,온,온 : 숯불(온)  따뜻할(온),,14,U+7185
瑥,온,온 : 사람이름(온),,14,U+7465
瘟,온,온 : 염병(온),,15,U+761F
稳,온,온,,14,U+7A33
穩,온,온 : 안온할(온),,19,U+7A69
縕,온,온 : 솜옷(온),,16,U+7E15
薀,온,온 : 붕어마름(온) 쌓을(온),은,19,U+8580
蘊,온,온 : 쌓을(온),운,22,U+860A
轀,온,온 : 수레(온),,17,U+8F40
醞,온,온 : 빚을(온) 술(온),,17,U+919E
韞,온,온 : 붉은빛(온) 적황색(온),,19,U+97DE
馧,온,온: 향기(온),,19,U+99A7
𥁕,온,온,,10,U+25055
𥠺,온,온,,15,U+2583A
򠆱,온,온,,21,U+A01B1
򠋔,온,온 : 穩(편안할(온))의 略字,은 : 穩의 略字,16,U+A02D4
㒚,"온,은","온,은",,16,U+349A
兀,올,올 : 우뚝할(올) 민둥민둥할(올),"왕,우,을",3,U+5140
嗢,올,올 : 웃을(올),,13,U+55E2
杌,올,올: 등걸(올) 위태할(올),올: 등걸(올) 위태 할(올),7,U+674C
膃,올,올 : 살질(올) 물개(올),,14,U+8183
㨣,옹,옹,,13,U+3A23
㷏,옹,옹,"용,웅,응",13,U+3DCF
喁,옹,옹 : 입벌름거릴(옹),우 : 화답할(우),12,U+5581
壅,옹,옹 : 막을(옹),홍,16,U+58C5
廱,옹,옹 : 벽옹(옹),용,21,U+5EF1
